weight_class,winner,loser,method,round,time,notes,fight_card,event_name,link
Women's bout (135 lb),Kerry Vera,Leslie Smith,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Hector Lombard,Damien Stelly,TKO (punches),1,2:56,,Main card,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Jared Hess,Yosmany Cabezas,TKO (punches),3,4:26,,Main card,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Weight class,,,Method,Round,Time,Notes,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Nick Ring,Isidro Gonzalez,Submission (guillotine choke),1,0:39,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Featherweight,Shad Lierley,Nathan Murdock,Decision (unanimous),3,5:00,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Alex Andrade,Christian Fulgium,TKO (punches),1,2:01,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Heavyweight,Shawn Jordan,Jayme McKinney,Submission (rear-naked choke),1,0:30,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Catchweight bout (175 lb),Chad Leonhardt,Dan Keenan,KO (knee),1,3:03,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Lightweight,Chas Skelly,Mike Braswell,Decision (split),3,5:00,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Hector Lombard,Damien Stelly,TKO (punches),1,2:56,,Main card,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Jared Hess,Yosmany Cabezas,TKO (punches),3,4:26,,Main card,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Weight class,,,Method,Round,Time,Notes,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Nick Ring,Isidro Gonzalez,Submission (guillotine choke),1,0:39,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Featherweight,Shad Lierley,Nathan Murdock,Decision (unanimous),3,5:00,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Alex Andrade,Christian Fulgium,TKO (punches),1,2:01,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Heavyweight,Shawn Jordan,Jayme McKinney,Submission (rear-naked choke),1,0:30,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Catchweight bout (175 lb),Chad Leonhardt,Dan Keenan,KO (knee),1,3:03,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Lightweight,Chas Skelly,Mike Braswell,Decision (split),3,5:00,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_7
Featherweight,Joe Soto,Yahir Reyes,Submission (rear-naked choke),2,4:11,[a],Main card,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Featherweight,Wilson Reis,Roberto Vargas,Decision (split),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Bryan Baker,Matt Horwich,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Lightweight,Diego Garijo,Saad Awad,Submission (rear-naked choke),1,4:45,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Lightweight,Israel Giron,Phil Brown,Submission (rear-naked choke),1,2:42,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Heavyweight,Travis Browne,Mychal Clark,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Catchweight bout (175 lb),Jesse Juarez,Mikey Gomez,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Light Heavyweight,Nick Moghaddam,Lamar Jiles,Disqualification (illegal knee),2,4:14,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_7
Welterweight,Lyman Good,Omar De La Cruz,TKO (punches),1,1:23,[a],Main card,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Welterweight,Vagner Rocha,Igor Gracie,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Welterweight,Jake Ellenberger,Marcelo Alfaya,KO (punch),1,0:42,,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Welterweight,Justin Torrey,Matt Makowski,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Bantamweight,Nick Pace,Collin Tebo,KO (flying knee),1,1:37,,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,David Branch,Dennis Olson,Submission (rear-naked choke),1,2:27,,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Bantamweight,Jimmie Rivera,Nick Garcia,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Uriah Hall,Edwin Aguilar,KO (head kicks),3,4:31,,Non-tournament bouts,Bellator 11,https://en.wikipedia.org//wiki/Bellator_7
Lightweight,Eddie Alvarez,Toby Imada,Submission (rear-naked choke),2,0:38,[a],Main card,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Weight class,,,Method,Round,Time,Notes,Middleweight Final,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Middleweight,Hector Lombard,Jared Hess,TKO (doctor stoppage),4,1:41,[b],Middleweight Final,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Lightweight,Jorge Masvidal,Eric Reynolds,Submission (rear-naked choke),3,3:33,,Non-tournament bouts,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Featherweight,Fabio Mello,Sami Aziz,Submission (armbar),3,1:58,,Non-tournament bouts,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Welterweight,Sérgio Moraes,Josh Martin,Submission (triangle choke),1,4:21,,Non-tournament bouts,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Women's bout (125 lb),Rosi Sexton,Valerie Coolbaugh,Submission (armbar),1,3:40,,Non-tournament bouts,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Catchweight (151.5 lbs),Luis Palomino,Troy Gerhart,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Women's bout (145 lb),Stephanie Guimaraes,Yvonne Reis,KO (knee),1,0:49,,Non-tournament bouts,Bellator 12,https://en.wikipedia.org//wiki/Bellator_7
Lightweight,Jorge Masvidal,Nick Agallar,TKO (punches),1,1:19,,Main card,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Eddie Alvarez,Greg Loughran,Submission (guillotine choke),1,2:44,,Main card,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Toby Imada,Alonzo Martinez,Submission (rear-naked choke),1,3:26,,Main card,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Featherweight Quarterfinals,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Yahir Reyes,Nick Gonzalez,Submission (rear-naked choke),1,2:11,,Featherweight Quarterfinals,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Estevan Payan,Luis Palomino,Decision (split),3,5:00,,Featherweight Quarterfinals,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Joe Soto,Ben Greer,TKO (punches),1,3:40,,Featherweight Quarterfinals,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Jonathan Brookins,Stephen Ledbetter,Submission (rear-naked choke),1,3:32,,Non-tournament bouts,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Lorenzo Borgomeo,Daniel Morales,Submission (rear-naked choke),3,3:46,,Non-tournament bouts,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,James Brasco,Kevin Abrante,Submission (armbar),1,2:14,,Non-tournament bouts,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Moyses Gabin,Chris Decaro,Submission (triangle choke),1,1:33,,Non-tournament bouts,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Gary Padilla,Daniel Sarafian,TKO (punches),2,3:04,,Non-tournament bouts,Bellator 1,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Wilson Reis,Henry Martinez,Decision (unanimous),3,5:00,,Main card,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Lightweight Quarterfinals,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Eric Reynolds,Thomas Schulte,TKO (punches),1,4:18,,Lightweight Quarterfinals,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Welterweight Quarterfinals,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Lyman Good,Héctor Urbina,Technical Submission (rear-naked choke),2,3:22,,Welterweight Quarterfinals,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Jorge Ortiz,Aaron Romero,Decision (unanimous),3,5:00,,Welterweight Quarterfinals,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Omar De La Cruz,Victor Meza,Decision (unanimous),3,5:00,,Welterweight Quarterfinals,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Bantamweight,Jimmie Rivera,Willie Gates,Submission (triangle choke),3,3:22,,Non-tournament bouts,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Matt Makowski,Aaron Tregear,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Jesse Juarez,Mikey Gomez,TKO (punches),1,4:23,,Non-tournament bouts,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Josh LaBerge,Chris Simmons,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 2,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Hector Lombard,Virgil Lozano,KO (punch),1,1:10,,Main card,Bellator 3,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Yosmany Cabezas,Edwin Aguilar,Submission (armbar),1,4:31,,Main card,Bellator 3,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Middleweight Tournament Alternate bout,Bellator 3,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Marcelo Alfaya,Joey Gorczynski,TKO (punches),1,1:32,,Middleweight Tournament Alternate bout,Bellator 3,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 3,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Johnny Eduardo,Donald Sanchez,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 3,https://en.wikipedia.org//wiki/Bellator_9
Light Heavyweight,Rudy Lindsay,Wayne Cole,TKO (punches),2,3:37,,Non-tournament bouts,Bellator 3,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Damien Stelly,Alex Andrade,Decision (unanimous),3,5:00,,Main card,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Jared Hess,Daniel Tabera,submission (rear-naked choke),1,2:34,,Main card,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Welterweight Quarterfinals,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Dave Menne,Norman Paraisy,Submission (rear-naked choke),3,2:39,,Welterweight Quarterfinals,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Middleweight Tournament Alternate bout,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Jason Norwood,John Kirk,Submission (rear-naked choke),2,1:52,,Middleweight Tournament Alternate bout,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Tyler East,Amedio Viola,TKO (punches),1,2:40,,Non-tournament bouts,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Light Heavyweight,William Albrecht,Mike Messina,TKO (punches),1,1:30,,Non-tournament bouts,Bellator 4,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Toby Imada,Jorge Masvidal,Technical Submission (inverted-triangle choke),3,3:22,,Main card,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Eddie Alvarez,Eric Reynolds,Submission (rear-naked choke),3,1:30,,Main card,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Waylon Lowe,Frank Caraballo,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Justin Edwards,John Troyer,Submission (guillotine),1,3:12,,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Female bout (117 lb),Jessica Penne,Tammie Schneider,TKO (punches),1,1:35,,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Matt Jaggers,Pete Dominguez,Submission (rear-naked choke),1,4:03,,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Dan Evensen,Raoul Romero,TKO (punches),2,1:44,,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Joey Beltran,Sherman Pendergarst,TKO (punches),1,2:24,,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Dave Herman,Josh Barnes,TKO (punches),1,4:46,,Non-tournament bouts,Bellator 5,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Joe Soto,Wilson Reis,Decision (unanimous),3,5:00,,Main card,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Yahir Reyes,Estevan Payan,KO (spinning backfist),2,1:56,,Main card,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Luis Palomino,Nick Gonzalez,TKO (punches),1,2:13,,Non-tournament bouts,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Roberto Vargas,Daniel Pineda,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Jose Santibanez,Dustin Phillips,Submission (rear-naked choke),1,3:34,,Non-tournament bouts,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Robert McDaniel,Chris Spicer,Submission (rear-naked choke),1,2:53,,Non-tournament bouts,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Catchweight (174 lb),Héctor Urbina,Ira Boyd,TKO (arm injury),1,0:19,,Non-tournament bouts,Bellator 6,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Omar De La Cruz,Dave Menne,TKO (punches),1,3:19,,Main card,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Lyman Good,Jorge Ortiz,TKO (cut),2,4:37,,Main card,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Troy Gerhart,Lorenzo Borgomeo,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Eddie Sanchez,Jay White,TKO (punches),1,0:10,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Alonzo Martinez,Victor Meza,Submission (rear-naked choke),2,1:42,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Jesse Juarez,DeRay Davis,TKO (punches),2,4:47,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Anthony Lapsley,Ryan Williams,Submission (rear-naked choke),2,4:22,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Welterweight,Jacob Volkmann,Kevin Knabjian,Submission (D'arce choke),2,1:42,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Women's bout (135 lb),Kerry Vera,Leslie Smith,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 7/8,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Hector Lombard,Damien Stelly,TKO (punches),1,2:56,,Main card,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Jared Hess,Yosmany Cabezas,TKO (punches),3,4:26,,Main card,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Nick Ring,Isidro Gonzalez,Submission (guillotine choke),1,0:39,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Shad Lierley,Nathan Murdock,Decision (unanimous),3,5:00,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Alex Andrade,Christian Fulgium,TKO (punches),1,2:01,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Shawn Jordan,Jayme McKinney,Submission (rear-naked choke),1,0:30,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Catchweight bout (175 lb),Chad Leonhardt,Dan Keenan,KO (knee),1,3:03,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Chas Skelly,Mike Braswell,Decision (split),3,5:00,,Non Tournament Bouts,Bellator 8,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Hector Lombard,Damien Stelly,TKO (punches),1,2:56,,Main card,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Jared Hess,Yosmany Cabezas,TKO (punches),3,4:26,,Main card,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Nick Ring,Isidro Gonzalez,Submission (guillotine choke),1,0:39,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Shad Lierley,Nathan Murdock,Decision (unanimous),3,5:00,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Alex Andrade,Christian Fulgium,TKO (punches),1,2:01,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Shawn Jordan,Jayme McKinney,Submission (rear-naked choke),1,0:30,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Catchweight bout (175 lb),Chad Leonhardt,Dan Keenan,KO (knee),1,3:03,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Chas Skelly,Mike Braswell,Decision (split),3,5:00,,Non Tournament Bouts,Bellator 9,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Joe Soto,Yahir Reyes,Submission (rear-naked choke),2,4:11,[a],Main card,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
Weight class,,,Method,Round,Time,Notes,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
Featherweight,Wilson Reis,Roberto Vargas,Decision (split),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
Middleweight,Bryan Baker,Matt Horwich,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Diego Garijo,Saad Awad,Submission (rear-naked choke),1,4:45,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
Lightweight,Israel Giron,Phil Brown,Submission (rear-naked choke),1,2:42,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
Heavyweight,Travis Browne,Mychal Clark,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
Catchweight bout (175 lb),Jesse Juarez,Mikey Gomez,Decision (unanimous),3,5:00,,Non-tournament bouts,Bellator 10,https://en.wikipedia.org//wiki/Bellator_9
